Question,Category,SubCategory
Athens Greece Baghdad Iraq,Semantic,: capital-common-countries
Athens Greece Bangkok Thailand,Semantic,: capital-common-countries
Athens Greece Beijing China,Semantic,: capital-common-countries
Athens Greece Berlin Germany,Semantic,: capital-common-countries
Athens Greece Bern Switzerland,Semantic,: capital-common-countries
Athens Greece Cairo Egypt,Semantic,: capital-common-countries
Athens Greece Canberra Australia,Semantic,: capital-common-countries
Athens Greece Hanoi Vietnam,Semantic,: capital-common-countries
Athens Greece Havana Cuba,Semantic,: capital-common-countries
Athens Greece Helsinki Finland,Semantic,: capital-common-countries
Athens Greece Islamabad Pakistan,Semantic,: capital-common-countries
Athens Greece Kabul Afghanistan,Semantic,: capital-common-countries
Athens Greece London England,Semantic,: capital-common-countries
Athens Greece Madrid Spain,Semantic,: capital-common-countries
Athens Greece Moscow Russia,Semantic,: capital-common-countries
Athens Greece Oslo Norway,Semantic,: capital-common-countries
Athens Greece Ottawa Canada,Semantic,: capital-common-countries
Athens Greece Paris France,Semantic,: capital-common-countries
Athens Greece Rome Italy,Semantic,: capital-common-countries
Athens Greece Stockholm Sweden,Semantic,: capital-common-countries
Athens Greece Tehran Iran,Semantic,: capital-common-countries
Athens Greece Tokyo Japan,Semantic,: capital-common-countries
Baghdad Iraq Bangkok Thailand,Semantic,: capital-common-countries
Baghdad Iraq Beijing China,Semantic,: capital-common-countries
Baghdad Iraq Berlin Germany,Semantic,: capital-common-countries
Baghdad Iraq Bern Switzerland,Semantic,: capital-common-countries
Baghdad Iraq Cairo Egypt,Semantic,: capital-common-countries
Baghdad Iraq Canberra Australia,Semantic,: capital-common-countries
Baghdad Iraq Hanoi Vietnam,Semantic,: capital-common-countries
Baghdad Iraq Havana Cuba,Semantic,: capital-common-countries
Baghdad Iraq Helsinki Finland,Semantic,: capital-common-countries
Baghdad Iraq Islamabad Pakistan,Semantic,: capital-common-countries
Baghdad Iraq Kabul Afghanistan,Semantic,: capital-common-countries
Baghdad Iraq London England,Semantic,: capital-common-countries
Baghdad Iraq Madrid Spain,Semantic,: capital-common-countries
Baghdad Iraq Moscow Russia,Semantic,: capital-common-countries
Baghdad Iraq Oslo Norway,Semantic,: capital-common-countries
Baghdad Iraq Ottawa Canada,Semantic,: capital-common-countries
Baghdad Iraq Paris France,Semantic,: capital-common-countries
Baghdad Iraq Rome Italy,Semantic,: capital-common-countries
Baghdad Iraq Stockholm Sweden,Semantic,: capital-common-countries
Baghdad Iraq Tehran Iran,Semantic,: capital-common-countries
Baghdad Iraq Tokyo Japan,Semantic,: capital-common-countries
Baghdad Iraq Athens Greece,Semantic,: capital-common-countries
Bangkok Thailand Beijing China,Semantic,: capital-common-countries
Bangkok Thailand Berlin Germany,Semantic,: capital-common-countries
Bangkok Thailand Bern Switzerland,Semantic,: capital-common-countries
